inputs,outputs
"start listening what will be the weather for the week what city can i give you next week's weather for? can you tell me what if there is going to be a blizzard in cleveland? it looks like thursday and cleveland#sunday cleveland will be seeing some snow. okay, but is there a blizzard predicted in cleveland this week?",there aren't any blizzards predicted to hit cleveland this week.
"where can i find tea around me the closest tea shop is coupa and is Coupa#distance from you located at 394 van ness avenue. which one is it the quickest route to reach it? the quickest route available to coupa is Coupa#distance and there is a car collision nearby patience, let's go there anyway, thank you car!",i sent the route on your screen. you're welcome!
put a reminder in my calendar for tomorrow at 5 pm meeting,ok...i've set your meeting for 5 pm..tomorrow.
"what chinese food options are there? there is a panda express and chinese_restaurant#poi here. which has less traffic? the both have Mandarin_Roots#traffic_info. thank you, then send me chinese_restaurant#poi' address on my gps and let's go there panda express is located Panda_Express#distance away at 842 arrowhead way. okay great, thank you!",you are welcome.
"where can i go shopping? stanford shopping center is Stanford_Shopping_Center#distance away. what is the address? 773 alger dr, we're Stanford_Shopping_Center#distance away from it, i sent its position on your screen that's sounds good, thank you for your help.",you're welcome!
"what's the shortest distance to the nearest rest stop? rest_stop#poi is located nearest to you at 1 mile away. would you like directions there?  i need the address for it and to know if there will be any traffic the clement hotel is at 657 ames ave with Stanford_Shopping_Center#traffic_info noted.  ok, please direct me there by the shortest distance.  i sent the directions on your screen, please drive carefully! thank you.",you are welcome driver!
where is the local pizza shop at?,the nearest is pizza_restaurant#poi at 776 arastradero rd. would you like directions there?
"fastest route to the grocery store.  we're 4 miles away from hacienda market and there is Hotel_Keen#traffic_info on our way alright, where is hacienda located? its address is Hacienda_Market#address. do you want me to set the gps on this destination? yes, please pick the fastest route and send it on my map!",grocery_store#poi is at 1313 chester ave and the gps is set.
can i find a chinese restaurant? i have a chinese restaurant listed at Mandarin_Roots#distance away. i need the shortest route. the mandarin roots is located Mandarin_Roots#distance away at 271 springer st.  thanks!,anytime.
"quickest route to my friends house. your friend jack lives at 864 alamanor lane but there is jacks_house#traffic_info. would you like directions? yes, please show me the quickest route to go there!",unfortunately there is heavy traffic on our way but since it's just jacks_house#distance away it shouldn't take too long to reach
what is the weather for today what city are you located in? i need to know the temperature in san francisco today.,it will be 40-50f in san francisco today.
set a reminder for dentist appointment at 5 pm on the 2nd with ana.,"okay, scheduling a dentist appointment with ana for the 2nd at 5pm."
when will my lab results be in,your lab appointment is on lab_appointment#date at 10am.
"what's the 7 day forecast in brentwood? the weather forecast in brentwood is dew on monday, misty on thusday, humid on wednesday, rain on thursday and friday, snow on saturday, clear skies on fresno#sunday thanks.",sure!
will it rain anytime in the next week what city would you like to know this information for? camarillo. it will be raining on inglewood#tuesday in camarillo. thanks.,you're welcome.
set a calendar reminder to go out to dinner for what date and time would you like the reminder?  2 pm on august 12 i am placing dinner on your calendar for august 12 at 2 pm.  that will be all.,happy to be of service.
update me on the weekly weather forecast for this week,in what city would you like the weather forecast for?
remind me there's a football game on the 12th,what time would you like a reminder for the football game?
when's my next scheduled yoga class,your next yoga class is yoga_activity#date at 11am.
what time is my meeting and at what location? your meeting is scheduled on meeting#date at 11am. where is the meeting?,your meeting is in the meeting#room.
schedule an appointment,what day and time is the appointment?
what's on the agenda for today's meeting your meeting#date meeting's agenda is to go over the budget. thank you,i am happy to help.
